date_key,full_date,year,month,quarter
770,2020-02-09,2020,2,1
771,2020-02-10,2020,2,1
772,2020-02-11,2020,2,1
773,2020-02-12,2020,2,1
774,2020-02-13,2020,2,1
775,2020-02-14,2020,2,1
776,2020-02-15,2020,2,1
777,2020-02-16,2020,2,1
778,2020-02-17,2020,2,1
779,2020-02-18,2020,2,1
780,2020-02-19,2020,2,1
781,2020-02-20,2020,2,1
782,2020-02-21,2020,2,1
783,2020-02-22,2020,2,1
784,2020-02-23,2020,2,1
785,2020-02-24,2020,2,1
786,2020-02-25,2020,2,1
787,2020-02-26,2020,2,1
788,2020-02-27,2020,2,1
789,2020-02-28,2020,2,1
790,2020-02-29,2020,2,1
791,2020-03-01,2020,3,1
792,2020-03-02,2020,3,1
793,2020-03-03,2020,3,1
794,2020-03-04,2020,3,1
795,2020-03-05,2020,3,1
796,2020-03-06,2020,3,1
797,2020-03-07,2020,3,1
798,2020-03-08,2020,3,1
799,2020-03-09,2020,3,1
800,2020-03-10,2020,3,1
801,2020-03-11,2020,3,1
802,2020-03-12,2020,3,1
803,2020-03-13,2020,3,1
804,2020-03-14,2020,3,1
805,2020-03-15,2020,3,1
806,2020-03-16,2020,3,1
807,2020-03-17,2020,3,1
808,2020-03-18,2020,3,1
809,2020-03-19,2020,3,1
810,2020-03-20,2020,3,1
811,2020-03-21,2020,3,1
812,2020-03-22,2020,3,1
813,2020-03-23,2020,3,1
814,2020-03-24,2020,3,1
815,2020-03-25,2020,3,1
816,2020-03-26,2020,3,1
817,2020-03-27,2020,3,1
818,2020-03-28,2020,3,1
819,2020-03-29,2020,3,1
820,2020-03-30,2020,3,1
821,2020-03-31,2020,3,1
822,2020-04-01,2020,4,2
823,2020-04-02,2020,4,2
824,2020-04-03,2020,4,2
825,2020-04-04,2020,4,2
826,2020-04-05,2020,4,2
827,2020-04-06,2020,4,2
828,2020-04-07,2020,4,2
829,2020-04-08,2020,4,2
830,2020-04-09,2020,4,2
831,2020-04-10,2020,4,2
832,2020-04-11,2020,4,2
833,2020-04-12,2020,4,2
834,2020-04-13,2020,4,2
835,2020-04-14,2020,4,2
836,2020-04-15,2020,4,2
837,2020-04-16,2020,4,2
838,2020-04-17,2020,4,2
839,2020-04-18,2020,4,2
840,2020-04-19,2020,4,2
841,2020-04-20,2020,4,2
842,2020-04-21,2020,4,2
843,2020-04-22,2020,4,2
844,2020-04-23,2020,4,2
845,2020-04-24,2020,4,2
846,2020-04-25,2020,4,2
847,2020-04-26,2020,4,2
848,2020-04-27,2020,4,2
849,2020-04-28,2020,4,2
850,2020-04-29,2020,4,2
851,2020-04-30,2020,4,2
852,2020-05-01,2020,5,2
853,2020-05-02,2020,5,2
854,2020-05-03,2020,5,2
855,2020-05-04,2020,5,2
856,2020-05-05,2020,5,2
857,2020-05-06,2020,5,2
858,2020-05-07,2020,5,2
859,2020-05-08,2020,5,2
860,2020-05-09,2020,5,2
861,2020-05-10,2020,5,2
862,2020-05-11,2020,5,2
863,2020-05-12,2020,5,2
864,2020-05-13,2020,5,2
865,2020-05-14,2020,5,2
866,2020-05-15,2020,5,2
867,2020-05-16,2020,5,2
868,2020-05-17,2020,5,2
